Player,Team,Shooting,Dribbling,Passing,Defense,Height,Weight,Race,Position,Preferred Foot,Pace
Denis Bouanga,lafc,16,20,15,4,180,71,Black,FW,Left,15
Timothy Tillman,lafc,6,8,9,14,184,74,Black,MF,Right,12
Ryan Hollingshead,lafc,3,6,9,16,189,89,White,DF,Left,13
Sergi Palencia,lafc,2,6,7,19,173,73,White,DF,Right,14
Mark Delgado,lafc,6,6,13,16,175,66,Hispanic,MF,Right,14
Aaron Long,lafc,2,3,3,12,186,76,White,DF,Right,16
Eddie Segura,lafc,2,4,5,14,178,70,Hispanic,DF,Right,13
Igor Jesus,lafc,5,8,9,16,178,76,Hispanic,MF,Right,11
Nathan Ordaz,lafc,9,7,10,4,180,70,Hispanic,FW,Left,13
Olivier Giroud,lafc,9,7,8,3,193,91,White,FW,Left,11
Nkosi Tafari,lafc,1,4,3,13,194,87,Black,DF,Right,13
Marlon,lafc,1,5,3,13,185,81,Hispanic,DF,Right,12
David Martínez,lafc,9,9,8,4,178,68,Hispanic,FW,Left,13
Jeremy Ebobisse,lafc,8,7,5,1,184,77,Black,FW,Right,15
Artem Smoliakov,lafc,2,5,3,10,180,70,White,DF,Left,13
Evander,cincinnati,16,11,18,9,179,72,Hispanic,MF,Right,13
Luca Orellano,cincinnati,10,13,14,5,177,66,Hispanic,FW,Left,15
Lukas Engel,cincinnati,2,6,11,18,185,74,White,DF,Left,13
Kévin Denkey,cincinnati,13,8,8,4,181,81,Black,FW,Right,13
Pavel Bucha,cincinnati,7,8,13,13,177,73,White,MF,Right,13
Gilberto Flores,cincinnati,2,4,3,18,180,78,Hispanic,DF,Right,12
Miles Robinson,cincinnati,3,4,4,16,188,84,Black,DF,Right,15
Matt Miazga,cincinnati,1,4,4,13,193,84,White,DF,Right,13
Nick Hagglund,cincinnati,1,4,3,11,186,86,White,DF,Right,11
DeAndre Yedlin,cincinnati,1,6,6,13,173,68,Black,DF,Right,16
Obinna Nwobodo,cincinnati,5,7,8,19,179,76,Black,MF,Both,14
Teenage Hadebe,cincinnati,1,4,4,16,180,74,Black,DF,Left,13
Kei Kamara,cincinnati,6,7,6,1,191,85,Black,FW,Right,10
Tah Brian Anunga,cincinnati,4,6,9,13,180,81,Black,MF,Right,13
Gerardo Valenzuela,cincinnati,10,8,6,2,183,75,Hispanic,FW,Right,13
Sérgio Santos,cincinnati,6,6,9,5,184,83,Hispanic,FW,Right,15
Alvas Powell,cincinnati,1,7,3,12,183,75,Black,DF,Right,16
Yuya Kubo,cincinnati,7,7,9,9,178,72,Asian,MF,Right,13
Lionel Messi,inter_miami,20,16,20,4,170,67,Hispanic,FW,Left,16
Luis Suárez,inter_miami,17,8,16,2,182,72,Hispanic,FW,Right,10
Diego Gómez,inter_miami,8,9,12,16,183,77,Hispanic,MF,Right,13
Jordi Alba,inter_miami,4,5,20,11,170,68,Hispanic,DF,Left,16
Federico Redondo,inter_miami,6,9,9,15,188,78,Hispanic,MF,Right,12
Sergio Busquets,inter_miami,5,7,12,17,189,74,Hispanic,MF,Right,9
Marcelo Weigandt,inter_miami,2,6,10,16,175,74,Hispanic,DF,Right,14
Matías Rojas,inter_miami,8,5,10,9,180,76,Hispanic,MF,Left,13
Julian Gressel,inter_miami,6,5,17,9,185,84,White,MF,Right,12
Yannick Bright,inter_miami,4,6,10,18,183,78,Black,MF,Right,12
Franco Negri,inter_miami,1,6,7,18,175,67,Hispanic,DF,Left,14
Robert Taylor,inter_miami,8,8,11,9,183,78,White,MF,Right,13
Ian Fray,inter_miami,3,8,4,13,183,72,Black,DF,Right,13
Benjamín Cremaschi,inter_miami,7,8,10,12,180,72,White,MF,Right,12
Tomás Avilés,inter_miami,1,4,3,18,186,73,Hispanic,DF,Right,12
Leonardo Campana,inter_miami,11,6,7,3,185,74,Hispanic,FW,Left,13
David Ruíz,inter_miami,5,8,10,11,178,69,Hispanic,MF,Right,13
Noah Allen,inter_miami,1,4,3,13,175,66,White,DF,Left,13
Serhiy Kryvtsov,inter_miami,2,3,3,14,186,83,White,DF,Left,11
Diego Rossi,columbus_crew,14,11,11,3,170,68,Hispanic,FW,Right,14
Max Arfsten,columbus_crew,8,11,12,16,185,78,White,MF,Left,11
Jacen Russell-Rowe,columbus_crew,11,7,8,2,183,73,Black,FW,Both,13
Dylan Chambost,columbus_crew,6,6,15,13,177,70,White,MF,Left,12
Sean Zawadzki,columbus_crew,3,4,5,17,183,73,White,DF,Right,13
Mohamed Farsi,columbus_crew,3,5,11,11,178,70,Black,DF,Right,16
Yevhen Cheberko,columbus_crew,1,5,5,16,184,66,White,DF,Left,13
Malte Amundsen,columbus_crew,2,7,7,13,179,77,White,DF,Left,13
Steven Moreira,columbus_crew,3,6,8,12,180,72,Black,DF,Right,14
Andrés Herrera,columbus_crew,3,7,7,14,178,75,Hispanic,DF,Right,14
Ibrahim Aliyu,columbus_crew,7,8,10,7,184,77,Black,FW,Right,15
Aziel Jackson,columbus_crew,7,9,9,9,175,68,Black,MF,Right,14
Dániel Gazdag,columbus_crew,8,6,9,8,178,76,White,MF,Right,12
Darlington Nagbe,columbus_crew,4,6,9,10,175,75,Black,MF,Right,14
Gabriel Pec,la_galaxy,12,14,7,9,172,64,Hispanic,FW,Left,15
Joseph Paintsil,la_galaxy,11,14,8,5,169,70,Black,FW,Right,16
Marco Reus,la_galaxy,8,7,19,10,180,71,White,MF,Right,13
Diego Fagúndez,la_galaxy,7,6,10,9,173,64,Hispanic,MF,Right,15
Miki Yamane,la_galaxy,1,5,11,18,178,72,Asian,DF,Right,14
Maya Yoshida,la_galaxy,3,4,3,14,189,87,Asian,DF,Right,10
Emiro Garcés,la_galaxy,2,5,4,20,186,75,Hispanic,DF,Right,13
Lucas Sanabria,la_galaxy,5,6,7,15,177,75,Hispanic,MF,Right,12
Matheus Nascimento,la_galaxy,7,7,9,3,182,76,Hispanic,FW,Right,14
Edwin Cerrillo,la_galaxy,5,7,9,11,175,79,Hispanic,MF,Right,13
Julián Aude,la_galaxy,1,7,4,11,180,66,Hispanic,DF,Left,14
John Nelson,la_galaxy,1,4,4,13,175,74,White,DF,Left,15
Isaiah Parente,la_galaxy,4,13,9,10,178,68,White,MF,Right,11
Elijah Wynder,la_galaxy,5,6,8,9,183,70,Black,MF,Right,12
Christian Ramirez,la_galaxy,8,6,7,2,188,85,Hispanic,FW,Right,11
Zanka,la_galaxy,1,4,5,13,191,79,Black,DF,Right,9
